Entrez ID	Gene Symbol	Gene Name	Refseq mRNA	Refseq Protein (linked to MSKCC Mapback)	Ensembl Gene ID	UCSC Genomic Coordinates	GO Categories	Sources 
64963	MRPS11	mitochondrial ribosomal protein S11	"NM_176805, NM_022839"	"NP_789775.1, NP_073750.2"	ENSG00000181991	chr15:86811952 - 86822214	"DNA damage response, detection of DNA damage;intracellular;mitochondrial small ribosomal subunit;mitochondrion;peptide biosynthetic process;ribosome;structural constituent of ribosome;translation"	Entrez Query:Oncogene
4477	MSMB	"microseminoprotein, beta-"	"NM_002443, NM_138634"	"NP_002434.1, NP_619540.1"	ENSG00000138294	chr10:51219590 - 51232406	biological_process;extracellular space;molecular_function;nucleus	"Tumor Suppressor, Entrez Query:Oncogene"
4486	MST1R	macrophage stimulating 1 receptor (c-met-related tyrosine kinase)	NM_002447	NP_002438.2	ENSG00000164078	chr3:49899743 - 49916046	ATP binding;cell motility;defense response;integral to plasma membrane;macrophage colony stimulating factor receptor activity;membrane;multicellular organismal development;nucleotide binding;positive regulation of cell proliferation;protein amino acid phosphorylation;protein-tyrosine kinase activity;receptor activity;signal transduction;single fertilization;transferase activity	"Alpha6Beta4 Integrin, Protein Kinase, Tyrosine Kinase, Entrez Query:Oncogene"
92140	MTDH	metadherin	NM_178812	NP_848927.2	ENSG00000147649	chr8:98725910 - 98806074	endoplasmic reticulum;integral to membrane;membrane;nucleus	Entrez Query:Oncogene
200958	MUC20	"mucin 20, cell surface associated"	"NM_152673, NM_001098516"	"NP_689886.2, NP_001091986.1"		chr3:196933549 - 196945760	"basal plasma membrane;glucan 1,4-alpha-glucosidase activity;protein homooligomerization"	Entrez Query:Oncogene
4585	MUC4	"mucin 4, cell surface associated"	"NM_018406, NM_004532, NM_138297"	"NP_060876.4, NP_004523.3, NP_612154.2"	ENSG00000145113	chr3:196959717 - 197023085	cell adhesion;cell-matrix adhesion;ErbB-2 class receptor binding;integral to plasma membrane;membrane;protein binding	Entrez Query:Oncogene
4602	MYB	v-myb myeloblastosis viral oncogene homolog (avian)	NM_005375	NP_005366.2	ENSG00000118513	chr6:135544344 - 135580811	"cell cycle;DNA binding;mRNA processing;nuclear matrix;nucleus;protein binding;regulation of transcription;regulation of transcription, DNA-dependent;RNA splicing;spliceosome;transcription regulator activity;transcriptional activator activity"	"Mitelman 2000, Stability, Entrez Query:Oncogene"
4603	MYBL1	v-myb myeloblastosis viral oncogene homolog (avian)-like 1	NM_001080416	NP_001073885.1	ENSG00000185697	chr8:67639485 - 67687627	"cell cycle;DNA binding;mRNA processing;nucleus;regulation of transcription;regulation of transcription, DNA-dependent;RNA splicing;spliceosome;transcription regulator activity;transcriptional activator activity"	Entrez Query:Oncogene
4605	MYBL2	v-myb myeloblastosis viral oncogene homolog (avian)-like 2	NM_002466	NP_002457.1	ENSG00000101057	chr20:41729337 - 41778141	"anti-apoptosis;chromatin;multicellular organismal development;nucleus;regulation of progression through cell cycle;regulation of transcription, DNA-dependent;transcription factor activity;transcription from RNA polymerase II promoter"	Entrez Query:Oncogene
4609	MYC	v-myc myelocytomatosis viral oncogene homolog (avian)	NM_002467	NP_002458.2	ENSG00000136997	chr8:128818021 - 128822386	"activation of pro-apoptotic gene products;caspase activation;cell cycle arrest;DNA binding;DNA fragmentation during apoptosis;induction of apoptosis by intracellular signals;iron ion homeostasis;negative regulation of survival gene product activity;nucleus;positive regulation of cell proliferation;protein binding;regulation of apoptosis;regulation of transcription from RNA polymerase II promoter;regulation of transcription, DNA-dependent;release of cytochrome c from mitochondria;response to radiation;spindl"	"EGFR1, TGFBR, Futreal et al 2004, Hahn and Weinberg 2002, Mitelman 2000, Vogelstein and Kinzler 2004, Stability, Tumor Suppressor, Entrez Query:Oncogene, Amplification, Translocation"
4610	MYCL1	"v-myc myelocytomatosis viral oncogene homolog 1, lung carcinoma derived (avian)"	"NM_001033081, NM_005376"	"NP_001028254.1, NP_005367.1"	ENSG00000116990	chr1:40135630 - 40139693	"nucleus;regulation of transcription, DNA-dependent;transcription factor activity"	"Futreal et al 2004, Vogelstein and Kinzler 2004, Entrez Query:Oncogene, Amplification"
4613	MYCN	"v-myc myelocytomatosis viral related oncogene, neuroblastoma derived (avian)"	NM_005378	NP_005369.2	ENSG00000134323	chr2:15999637 - 16003670	branching morphogenesis of a tube;chromatin;lung development;nucleus;positive regulation of cell proliferation;protein binding;regulation of transcription from RNA polymerase II promoter;transcription factor activity	"Futreal et al 2004, Vogelstein and Kinzler 2004, Stability, Tumor Suppressor, Entrez Query:Oncogene, Amplification"
8883	NAE1	amyloid beta precursor protein binding protein 1	NM_001018159	NP_001018170.1	ENSG00000159593	chr16:65394412 - 65422303	catalytic activity;cell cycle;cytoplasm;DNA replication;insoluble fraction;NEDD8 activating enzyme activity;protein binding;protein heterodimerization activity;protein neddylation;regulation of apoptosis;S-M checkpoint;signal transduction;ubiquitin cycle	Entrez Query:Oncogene
8031	NCOA4	nuclear receptor coactivator 4	NM_005437	NP_005428.1	ENSG00000138293	chr10:51249147 - 51259236	"androgen receptor binding;androgen receptor signaling pathway;male gonad development;nucleus;positive regulation of transcription, DNA-dependent;protein binding;receptor activity;transcription;transcription coactivator activity;transmembrane receptor protein tyrosine kinase signaling pathway"	"Androgen Receptor, Futreal et al 2004, Mitelman 2000, Entrez Query:Oncogene, Translocation"
4718	NDUFC2	"NADH dehydrogenase (ubiquinone) 1, subcomplex unknown, 2, 14.5kDa"	NM_004549	NP_004540.1	ENSG00000151366	chr11:77458680 - 77468438	"cytoplasm;mitochondrial electron transport, NADH to ubiquinone;mitochondrial inner membrane;mitochondrial respiratory chain complex I;mitochondrion;NADH dehydrogenase (ubiquinone) activity;NADH dehydrogenase activity;oxidoreductase activity"	Entrez Query:Oncogene
4734	NEDD4	"neural precursor cell expressed, developmentally down-regulated 4"	"NM_198400, NM_006154"	"NP_940682.2, NP_006145.2"	ENSG00000069869	chr15:53909386 - 53996321	intracellular;ligase activity;protein modification process;ubiquitin cycle;ubiquitin-protein ligase activity	Entrez Query:Oncogene
10276	NET1	neuroepithelial cell transforming gene 1	"NM_001047160, NM_005863"	"NP_001040625.1, NP_005854.2"	ENSG00000173848	chr10:5444655 - 5488957	cellular_component;guanyl-nucleotide exchange factor activity;intracellular;nucleus;regulation of cell growth;regulation of Rho protein signal transduction;Rho guanyl-nucleotide exchange factor activity;signal transduction	Entrez Query:Oncogene
4790	NFKB1	nuclear factor of kappa light polypeptide gene enhancer in B-cells 1 (p105)	NM_003998	NP_003989.2	ENSG00000109320	chr4:103665705 - 103756797	"anti-apoptosis;apoptosis;cytoplasm;inflammatory response;negative regulation of interleukin-12 biosynthetic process;negative regulation of transcription, DNA-dependent;nucleus;positive regulation of transcription;positive regulation of transcription from RNA polymerase II promoter;protein binding;signal transduction;specific transcriptional repressor activity;transcription factor activity;transcription from RNA polymerase II promoter"	"NOTCH, TNF_alpha_NF_kB, Stability, Tumor Suppressor, Entrez Query:Oncogene"
4791	NFKB2	nuclear factor of kappa light polypeptide gene enhancer in B-cells 2 (p49/p100)	"NM_002502, NM_001077494"	"NP_002493.3, NP_001070962.1"	ENSG00000077150	chr10:104145706 - 104152123	"cytoplasm;extracellular matrix organization and biogenesis;follicular dendritic cell differentiation;germinal center formation;nucleus;protein binding;regulation of transcription, DNA-dependent;signal transduction;spleen development;transcription coactivator activity;transcription factor activity"	"TNF_alpha_NF_kB, Futreal et al 2004, Mitelman 2000, Tumor Suppressor, Entrez Query:Oncogene, Translocation"
4830	NME1	"non-metastatic cells 1, protein (NM23A) expressed in"			ENSG00000011052	chr17:null	ATP binding;cell cycle;CTP biosynthetic process;cytoplasm;deoxyribonuclease activity;DNA binding;GTP biosynthetic process;kinase activity;magnesium ion binding;negative regulation of cell proliferation;negative regulation of progression through cell cycle;nucleoside diphosphate kinase activity;nucleoside triphosphate biosynthetic process;nucleotide binding;nucleotide metabolic process;nucleus;positive regulation of epithelial cell proliferation;regulation of apoptosis;transferase activity;UTP biosynthetic p	"Tumor Suppressor, Entrez Query:Oncogene"
9111	NMI	N-myc (and STAT) interactor	NM_004688	NP_004679.2	ENSG00000123609	chr2:151835452 - 151847708	cytoplasm;inflammatory response;JAK-STAT cascade;protein binding;transcription cofactor activity;transcription from RNA polymerase II promoter	Entrez Query:Oncogene
4869	NPM1	"nucleophosmin (nucleolar phosphoprotein B23, numatrin)"	"NM_002520, NM_001037738, NM_199185"	"NP_002511.1, NP_001032827.1, NP_954654.1"	ENSG00000181163	chr5:170747557 - 170770174	activation of NF-kappaB transcription factor;anti-apoptosis;cell aging;centrosome;centrosome cycle;cytoplasm;intracellular protein transport;negative regulation of cell proliferation;NF-kappaB binding;nucleocytoplasmic transport;nucleolus;nucleus;protein heterodimerization activity;protein homodimerization activity;response to stress;ribosome assembly;RNA binding;signal transduction;Tat protein binding;transcription coactivator activity;unfolded protein binding	"Futreal et al 2004, Mitelman 2000, Stability, Tumor Suppressor, Entrez Query:Oncogene, Translocation"
2063	NR2F6	"nuclear receptor subfamily 2, group F, member 6"	NM_005234	NP_005225.2	ENSG00000160113	chr19:17204160 - 17217029	"detection of temperature stimulus during sensory perception of pain;entrainment of circadian clock by photoperiod;metal ion binding;neuron development;nucleus;regulation of transcription, DNA-dependent;sequence-specific DNA binding;signal transduction;steroid hormone receptor activity;thyroid hormone receptor activity;transcription;transcription factor activity;zinc ion binding"	Entrez Query:Oncogene
4893	NRAS	neuroblastoma RAS viral (v-ras) oncogene homolog	NM_002524	NP_002515.1	ENSG00000168638	chr1:115052678 - 115060304	GTP binding;GTPase activity;intracellular;membrane;nucleotide binding;regulation of progression through cell cycle;small GTPase mediated signal transduction	"EGFR1, Futreal et al 2004, Hahn and Weinberg 2002, Entrez Query:Oncogene, Missense mutation"
8829	NRP1	neuropilin 1	"NM_003873, NM_001024628, NM_001024629"	"NP_003864.4, NP_001019799.1, NP_001019800.1"	ENSG00000099250	chr10:33509009 - 33663316	angiogenesis;axon guidance;cell adhesion;cell differentiation;cell-cell signaling;endoplasmic reticulum;integral to membrane;membrane;membrane fraction;multicellular organismal development;nervous system development;organ morphogenesis;positive regulation of cell proliferation;protein binding;receptor activity;signal transduction;vascular endothelial growth factor receptor activity	"Stability, Tumor Suppressor, Entrez Query:Oncogene"
114614	NR_001458	-				chr21:null		Entrez Query:Oncogene
5820	NR_003367	"Pvt1 oncogene homolog, MYC activator (mouse)"				chr8:null		"Mitelman 2000, Entrez Query:Oncogene"
646996	NR_003543	-				chr14:null	GTP binding;protein transport;small GTPase mediated signal transduction	Entrez Query:Oncogene
4914	NTRK1	"neurotrophic tyrosine kinase, receptor, type 1"	"NM_001012331, NM_002529, NM_001007792"	"NP_001012331.1, NP_002520.2, NP_001007793.1"	ENSG00000198400	chr1:155097350 - 155118058	ATP binding;B cell differentiation;biological_process;cellular_component;cytoplasm;integral to membrane;integral to plasma membrane;kinase activity;mechanoreceptor differentiation;membrane;multicellular organismal development;nervous system development;neurotrophin binding;nucleotide binding;protein amino acid phosphorylation;protein binding;receptor activity;transferase activity;transmembrane receptor protein tyrosine kinase activity;transmembrane receptor protein tyrosine kinase signaling pathway	"Futreal et al 2004, Mitelman 2000, Vogelstein and Kinzler 2004, Protein Kinase, Tumor Suppressor, Tyrosine Kinase, Entrez Query:Oncogene, Translocation"
8021	NUP214	nucleoporin 214kDa	NM_005085	NP_005076.3	ENSG00000126883	chr9:132990912 - 133098695	integral to membrane;molecular_function;nuclear pore;nucleus;outer membrane;porin activity;protein binding;protein export from nucleus;transport;transporter activity	"TGFBR, Futreal et al 2004, Mitelman 2000, Entrez Query:Oncogene, Translocation"
4927	NUP88	nucleoporin 88kDa	NM_002532	NP_002523.2	ENSG00000108559	chr17:5230249 - 5263694	nuclear pore;nucleus;protein transport;transporter activity	Entrez Query:Oncogene
5015	OTX2	orthodenticle homeobox 2	"NM_021728, NM_172337"	"NP_068374.1, NP_758840.1"	ENSG00000165588	chr14:56338205 - 56341927	anterior/posterior pattern formation;axon guidance;cell fate specification;central nervous system development;dorsal/ventral pattern formation;eukaryotic initiation factor 4E binding;eye photoreceptor cell fate commitment;forebrain development;growth cone;midbrain development;multicellular organismal development;neuron fate commitment;nucleus;organ morphogenesis;protein binding;regulation of fibroblast growth factor receptor signaling pathway;regulation of smoothened signaling pathway;regulation of transcri	Entrez Query:Oncogene
5034	P4HB	"procollagen-proline, 2-oxoglutarate 4-dioxygenase (proline 4-hydroxylase), beta polypeptide"	NM_000918	NP_000909.2	ENSG00000185624	chr17:77395176 - 77411636	cell redox homeostasis;cell surface;endoplasmic reticulum;ER-Golgi intermediate compartment;extracellular region;isomerase activity;membrane;microsome;peptidyl-proline hydroxylation to 4-hydroxy-L-proline;procollagen-proline 4-dioxygenase activity;protein binding;protein disulfide isomerase activity;protein folding	Entrez Query:Oncogene
5058	PAK1	"p21/Cdc42/Rac1-activated kinase 1 (STE20 homolog, yeast)"	"NM_002576, NM_001128620"	"NP_002567.3, NP_001122092.1"	ENSG00000149269	chr11:76711966 - 76781213	apoptosis;ATP binding;axon;cytoplasm;cytoskeleton organization and biogenesis;dendrite development;ER-nuclear signaling pathway;growth cone;JNK cascade;nucleotide binding;nucleus;plasma membrane;protein amino acid phosphorylation;protein binding;protein serine/threonine kinase activity;transferase activity	"Alpha6Beta4 Integrin, EGFR1, Protein Kinase, Entrez Query:Oncogene"
11315	PARK7	"Parkinson disease (autosomal recessive, early onset) 7"	"NM_001123377, NM_007262"	"NP_001116849.1, NP_009193.2"	ENSG00000116288	chr1:7945432 - 7967701	adult locomotory behavior;cytoplasm;dopamine uptake;nucleus;protein binding;protein folding;Ras protein signal transduction;response to hydrogen peroxide	"Tumor Suppressor, Entrez Query:Oncogene"
23598	PATZ1	POZ (BTB) and AT hook containing zinc finger 1	"NM_032051, NM_032050, NM_014323, NM_032052"	"NP_114440.1, NP_114439.1, NP_055138.2, NP_114441.1"	ENSG00000100105	chr22:30052876 - 30071588	"DNA binding;intracellular;metal ion binding;nucleus;protein binding;regulation of transcription, DNA-dependent;transcription;transcriptional repressor activity;zinc ion binding"	"Androgen Receptor, Futreal et al 2004, Mitelman 2000, Entrez Query:Oncogene, Translocation"
5076	PAX2	paired box gene 2	"NM_003989, NM_003987, NM_003988, NM_003990, NM_000278"	"NP_003980.2, NP_003978.2, NP_003979.2, NP_003981.2, NP_000269.2"	ENSG00000075891	chr10:102496007 - 102577430	"axonogenesis;cell differentiation;DNA binding;multicellular organismal development;nucleus;regulation of transcription, DNA-dependent;transcription;transcription from RNA polymerase II promoter;visual perception"	"ID, Wnt, Entrez Query:Oncogene"
5078	PAX4	paired box gene 4	NM_006193	NP_006184.2	ENSG00000106331	chr7:127038353 - 127042810	"cell differentiation;multicellular organismal development;nucleus;organ morphogenesis;regulation of transcription, DNA-dependent;sequence-specific DNA binding;transcription factor activity"	"Tumor Suppressor, Entrez Query:Oncogene"
7849	PAX8	paired box gene 8	"NM_013992, NM_003466, NM_013952, NM_013953, NM_013951"	"NP_054698.1, NP_003457.1, NP_039246.1, NP_039247.1, NP_039245.1"	ENSG00000125618	chr2:113694139 - 113752441	"anatomical structure morphogenesis;cell differentiation;multicellular organismal development;nucleoplasm;nucleus;positive regulation of transcription, DNA-dependent;protein binding;thyroid-stimulating hormone receptor activity;transcription;transcription factor activity;transcriptional activator activity"	"ID, Futreal et al 2004, Mitelman 2000, Entrez Query:Oncogene, Translocation"
27250	PDCD4	programmed cell death 4 (neoplastic transformation inhibitor)	"NM_145341, NM_014456"	"NP_663314.1, NP_055271.2"	ENSG00000150593	chr10:112625775 - 112647836	apoptosis;cell aging;cell cycle;cytoplasm;cytosol;negative regulation of JNK activity;negative regulation of progression through cell cycle;negative regulation of transcription;nucleus;protein binding;RNA binding	"Tumor Suppressor, Entrez Query:Oncogene"
5155	PDGFB	platelet-derived growth factor beta polypeptide (simian sarcoma viral (v-sis) oncogene homolog)	"NM_002608, NM_033016"	"NP_002599.1, NP_148937.1"	ENSG00000100311	chr22:37951673 - 37969914	cell proliferation;extracellular region;growth factor activity;membrane;platelet-derived growth factor receptor binding;regulation of progression through cell cycle;response to wounding	"Futreal et al 2004, Mitelman 2000, Vogelstein and Kinzler 2004, Entrez Query:Oncogene, Translocation"
8682	PEA15	phosphoprotein enriched in astrocytes 15	NM_003768	NP_003759.1	ENSG00000162734	chr1:158447958 - 158449900	anti-apoptosis;microtubule associated complex;negative regulation of glucose import;protein binding;regulation of apoptosis;sugar porter activity;transport	"Stability, Entrez Query:Oncogene"
23089	PEG10	paternally expressed 10	NM_015068	NP_055883.2	ENSG00000198872	chr7:94130804 - 94132930	cytoplasm;negative regulation of transforming growth factor beta receptor signaling pathway;nucleic acid binding;protein binding;zinc ion binding	Entrez Query:Oncogene
27043	PELP1	"proline, glutamic acid and leucine rich protein 1"	NM_014389	NP_055204.2		chr17:4521482 - 4554155	nucleus;transcription	Entrez Query:Oncogene
5204	PFDN5	prefoldin subunit 5	"NM_145897, NM_002624"	"NP_665904.1, NP_002615.2"	ENSG00000123349	chr12:51975618 - 51979396	"cytoplasm;nucleus;prefoldin complex;protein folding;regulation of transcription, DNA-dependent;transcription corepressor activity;unfolded protein binding"	Entrez Query:Oncogene
5245	PHB	prohibitin	NM_002634	NP_002625.1	ENSG00000167085	chr17:44837352 - 44845625	DNA replication;histone deacetylation;integral to plasma membrane;membrane;mitochondrial inner membrane;mitochondrion;negative regulation of cell proliferation;negative regulation of transcription;nucleoplasm;nucleus;protein binding;regulation of apoptosis;regulation of progression through cell cycle;signal transduction;transcriptional activator activity;transcriptional repressor activity	"Tumor Suppressor, Entrez Query:Oncogene"
128869	PIGU	"phosphatidylinositol glycan anchor biosynthesis, class U"	NM_080476	NP_536724.1	ENSG00000101464	chr20:32612330 - 32728550	attachment of GPI anchor to protein;endoplasmic reticulum;endoplasmic reticulum membrane;GPI anchor binding;GPI-anchor transamidase activity;GPI-anchor transamidase complex;integral to membrane;membrane	Entrez Query:Oncogene
5290	PIK3CA	"phosphoinositide-3-kinase, catalytic, alpha polypeptide"	NM_006218	NP_006209.2	ENSG00000121879	chr3:180399307 - 180434846	"1-phosphatidylinositol-3-kinase activity;anti-apoptosis;glucose metabolic process;inositol or phosphatidylinositol kinase activity;insulin receptor substrate binding;lamellipodium;phosphatidylinositol-4,5-bisphosphate 3-kinase activity;phosphoinositide 3-kinase complex;protein amino acid phosphorylation;protein kinase B signaling cascade;regulation of body size;signal transduction;transferase activity"	"Alpha6Beta4 Integrin, EGFR1, Futreal et al 2004, Hahn and Weinberg 2002, Tumor Suppressor, Entrez Query:Oncogene, Missense mutation"
5294	PIK3CG	"phosphoinositide-3-kinase, catalytic, gamma polypeptide"	NM_002649	NP_002640.2	ENSG00000105851	chr7:106295242 - 106333068	"1-phosphatidylinositol-3-kinase activity;G-protein coupled receptor protein signaling pathway;inositol or phosphatidylinositol kinase activity;negative regulation of apoptosis;phosphatidylinositol-4,5-bisphosphate 3-kinase activity;phosphoinositide 3-kinase complex;protein amino acid phosphorylation;protein binding;transferase activity"	"Alpha6Beta4 Integrin, EGFR1, Kit Receptor, Hahn and Weinberg 2002, Stability, Entrez Query:Oncogene"
5292	PIM1	pim-1 oncogene	NM_002648	NP_002639.1	ENSG00000137193	chr6:37246329 - 37249845	ATP binding;cell proliferation;cytoplasm;manganese ion binding;metal ion binding;multicellular organismal development;negative regulation of apoptosis;nucleotide binding;nucleus;protein amino acid phosphorylation;protein binding;protein serine/threonine kinase activity;transferase activity	"Futreal et al 2004, Mitelman 2000, Protein Kinase, Stability, Entrez Query:Oncogene, Translocation"
11040	PIM2	pim-2 oncogene	NM_006875	NP_006866.2	ENSG00000102096	chrX:48656351 - 48661055	anti-apoptosis;apoptotic mitochondrial changes;ATP binding;cell proliferation;male meiosis;nucleotide binding;protein amino acid phosphorylation;protein binding;protein serine/threonine kinase activity;transferase activity	"Protein Kinase, Entrez Query:Oncogene"
415116	PIM3	pim-3 oncogene	NM_001001852	NP_001001852.2	ENSG00000198355	chr22:48740599 - 48742779	ATP binding;nucleotide binding;protein amino acid phosphorylation;protein kinase activity;protein serine/threonine kinase activity;transferase activity	"Protein Kinase, Entrez Query:Oncogene"
5324	PLAG1	pleiomorphic adenoma gene 1	"NM_001114634, NM_002655"	"NP_001108106.1, NP_001108107.1"	ENSG00000181690	chr8:57241355 - 57243382	intracellular;metal ion binding;nucleic acid binding;transcription factor activity;zinc ion binding	"Futreal et al 2004, Mitelman 2000, Entrez Query:Oncogene, Translocation"
5328	PLAU	"plasminogen activator, urokinase"	NM_002658	NP_002649.1	ENSG00000122861	chr10:75341319 - 75346329	blood coagulation;chemotaxis;extracellular space;fibrinolysis;kinase activity;peptidase activity;plasminogen activator activity;proteolysis;serine-type endopeptidase activity;signal transduction	"Stability, Entrez Query:Oncogene"
5329	PLAUR	"plasminogen activator, urokinase receptor"	"NM_002659, NM_001005376, NM_001005377"	"NP_002650.1, NP_001005376.1, NP_001005377.1"	ENSG00000011422	chr19:48844881 - 48866112	blood coagulation;cell motility;cell surface;cell surface receptor linked signal transduction;chemotaxis;enzyme binding;extrinsic to membrane;GPI anchor binding;integral to membrane;plasma membrane;regulation of proteolysis;U-plasminogen activator receptor activity	"Stability, Entrez Query:Oncogene"
5336	PLCG2	"phospholipase C, gamma 2 (phosphatidylinositol-specific)"	NM_002661	NP_002652.2	ENSG00000197943	chr16:80377095 - 80549104	calcium ion binding;cell surface receptor linked signal transduction;hydrolase activity;intracellular signaling cascade;lipid catabolic process;phosphoinositide phospholipase C activity;phospholipid metabolic process;protein binding;signal transducer activity	Entrez Query:Oncogene
5371	PML	promyelocytic leukemia	"NM_033246, NM_033238, NM_033250, NM_033249, NM_033239, NM_033240, NM_002675, NM_033247, NM_033244"	"NP_150249.1, NP_150241.2, NP_150253.2, NP_150252.1, NP_150242.1, NP_150243.2, NP_002666.1, NP_150250.2, NP_150247.2"	ENSG00000140464	chr15:72074206 - 72124402	"cytoplasm;DNA binding;DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest;DNA damage response, signal transduction by p53 class mediator resulting in induction of apoptosis;DNA repair;induction of apoptosis;insoluble fraction;intracellular;metal ion binding;negative regulation of angiogenesis;negative regulation of cell growth;negative regulation of transcription;nucleic acid binding;nucleolus;nucleoplasm;nucleus;PML body;PML body organization and biogenesis;protein"	"TNF_alpha_NF_kB, Futreal et al 2004, Mitelman 2000, Tumor Suppressor, Entrez Query:Oncogene, Translocation"
5468	PPARG	peroxisome proliferator-activated receptor gamma	NM_015869	"NP_619726.2, NP_056953.2"	ENSG00000132170	chr3:12368091 - 12450644	"cell fate commitment;cytosol;epithelial cell differentiation;generation of precursor metabolites and energy;lipid metabolic process;metal ion binding;negative regulation of transcription from RNA polymerase II promoter;nucleus;positive regulation of transcription;positive regulation of transcription from RNA polymerase II promoter;protein binding;regulation of fat cell differentiation;regulation of transcription, DNA-dependent;response to nutrient;sequence-specific DNA binding;signal transduction;steroid ho"	"Futreal et al 2004, Mitelman 2000, Entrez Query:Oncogene, Translocation"
8493	PPM1D	"protein phosphatase 1D magnesium-dependent, delta isoform"	NM_003620	NP_003611.1	ENSG00000170836	chr17:56032557 - 56095695	cell cycle;G2/M transition of mitotic cell cycle;hydrolase activity;magnesium ion binding;manganese ion binding;negative regulation of cell proliferation;nucleus;protein amino acid dephosphorylation;protein phosphatase type 2C activity;protein serine/threonine phosphatase complex;regulation of progression through cell cycle;response to bacterium;response to radiation	"Tumor Suppressor, Entrez Query:Oncogene"
5573	PRKAR1A	"protein kinase, cAMP-dependent, regulatory, type I, alpha (tissue specific extinguisher 1)"	NM_002734	NP_997637.1	ENSG00000108946	chr17:64023135 - 64038185	cAMP binding;cAMP-dependent protein kinase complex;cAMP-dependent protein kinase regulator activity;intracellular signaling cascade;kinase activity;mesoderm formation;neuromuscular junction;nucleotide binding;protein amino acid phosphorylation;protein binding;regulation of transcription from RNA polymerase II promoter;signal transduction	"Futreal et al 2004, Mitelman 2000, Tumor Suppressor, Entrez Query:Oncogene, Frameshift mutation, Missense mutation, Nonsense mutation, Splicing mutation, Translocation"
5584	PRKCI	"protein kinase C, iota"	NM_002740	NP_002731.4	ENSG00000163558	chr3:171423151 - 171503609	actin filament organization;apical part of cell;ATP binding;atypical protein kinase C activity;cytoplasm;cytoskeleton organization and biogenesis;cytosol;diacylglycerol binding;establishment and/or maintenance of epithelial cell polarity;establishment of apical/basal cell polarity;eye photoreceptor cell development;intercellular junction assembly and maintenance;intracellular signaling cascade;membrane organization and biogenesis;metal ion binding;nucleotide binding;nucleus;phospholipid binding;polarisome;p	"EGFR1, Entrez Query:Oncogene"
5728	PTEN	phosphatase and tensin homolog (mutated in multiple advanced cancers 1)	NM_000314	NP_000305.3	ENSG00000171862	chr10:89614206 - 89715209	"cell cycle;cell migration;cell proliferation;central nervous system development;cytoplasm;heart development;hydrolase activity;induction of apoptosis;inositol phosphate dephosphorylation;inositol-1,3,4,5-tetrakisphosphate 3-phosphatase activity;lipid binding;lipid metabolic process;negative regulation of apoptosis;negative regulation of cell migration;negative regulation of cell proliferation;negative regulation of focal adhesion formation;negative regulation of progression through cell cycle;negative regul"	"Androgen Receptor, Futreal et al 2004, Hahn and Weinberg 2002, Vogelstein and Kinzler 2004, Stability, Tumor Suppressor, Entrez Query:Oncogene, Frameshift mutation, Large deletion, Missense mutation, Nonsense mutation, Splicing mutation"
5743	PTGS2	prostaglandin-endoperoxide synthase 2 (prostaglandin G/H synthase and cyclooxygenase)	NM_000963	NP_000954.1	ENSG00000073756	chr1:184910107 - 184916045	"anagen;blood pressure regulation;cell motility;cyclooxygenase pathway;cytoplasm;fatty acid biosynthetic process;iron ion binding;keratinocyte differentiation;membrane;metal ion binding;nucleus;oxidoreductase activity;oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen;peroxidase activity;prostaglandin biosynthetic process;prostaglandin-endoperoxide synthase activity;regulation of inflammatory response"	"Stability, Tumor Suppressor, Entrez Query:Oncogene"
5747	PTK2	PTK2 protein tyrosine kinase 2	"NM_005607, NM_153831"	"NP_005598.3, NP_722560.1"	ENSG00000169398	chr8:141738746 - 142063392	ATP binding;cytoskeleton;integrin-mediated signaling pathway;nucleotide binding;protein amino acid phosphorylation;protein binding;protein-tyrosine kinase activity;SH2 domain binding;transferase activity	"Alpha6Beta4 Integrin, TNF_alpha_NF_kB, Protein Kinase, Stability, Tyrosine Kinase, Entrez Query:Oncogene"
5781	PTPN11	"protein tyrosine phosphatase, non-receptor type 11 (Noonan syndrome 1)"	NM_002834	NP_002825.3	ENSG00000179295	chr12:111341298 - 111426951	hydrolase activity;intracellular signaling cascade;non-membrane spanning protein tyrosine phosphatase activity;protein amino acid dephosphorylation;protein binding;sensory perception of sound	"EGFR1, Kit Receptor, TNF_alpha_NF_kB, Futreal et al 2004, Phosphatase, Stability, Entrez Query:Oncogene, Missense mutation"
5782	PTPN12	"protein tyrosine phosphatase, non-receptor type 12"	NM_002835	NP_002826.3	ENSG00000127947	chr7:77004799 - 77106533	cytoplasm;cytosol;hydrolase activity;non-membrane spanning protein tyrosine phosphatase activity;protein amino acid dephosphorylation;SH3 domain binding;soluble fraction	"EGFR1, Phosphatase, Entrez Query:Oncogene"
9232	PTTG1	pituitary tumor-transforming 1	NM_004219	NP_004210.1	ENSG00000164611	chr5:159781897 - 159788266	cell cycle;cell division;cellular_component;chromosome organization and biogenesis;chromosome segregation;cysteine protease inhibitor activity;cytoplasm;DNA metabolic process;DNA repair;mitosis;molecular_function;nucleus;protein binding;spermatogenesis;transcription factor activity;transcription from RNA polymerase II promoter	"Stability, Entrez Query:Oncogene"
